evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
85 km al O de Arica,-18.525 ,-71.129,2025-01-02,20:01:07,2025-01-02,23:01:07,28,km,2.7,Ml
57 km al NO de Tongoy,-29.944 ,-71.961,2025-01-02,19:44:35,2025-01-02,22:44:35,40,km,2.7,Ml
52 km al E de Quillagua,-21.732 ,-69.039,2025-01-02,19:10:43,2025-01-02,22:10:43,93,km,2.5,Ml
52 km al E de Quillagua,-21.730 ,-69.040,2025-01-02,17:43:35,2025-01-02,20:43:35,98,km,6.1,Mww
61 km al NO de Tongoy,-29.953 ,-72.028,2025-01-02,15:52:20,2025-01-02,18:52:20,40,km,2.7,Ml
34 km al O de Mina Collahuasi,-20.705 ,-68.958,2025-01-02,15:49:53,2025-01-02,18:49:53,107,km,3.1,Ml
51 km al O de OllagÃ¼e,-21.366 ,-68.725,2025-01-02,14:53:09,2025-01-02,17:53:09,91,km,2.5,Ml
78 km al E de Socaire,-23.801 ,-67.158,2025-01-02,13:53:44,2025-01-02,16:53:44,236,km,2.8,Ml
32 km al O de Mina Collahuasi,-20.885 ,-68.961,2025-01-02,13:39:49,2025-01-02,16:39:49,112,km,2.5,Ml
28 km al E de San FabiÃ¡n,-36.661 ,-71.269,2025-01-02,12:35:48,2025-01-02,15:35:48,199,km,3.0,Ml
60 km al O de Carrizal Bajo,-27.978 ,-71.745,2025-01-02,12:29:58,2025-01-02,15:29:58,47,km,2.8,Ml
89 km al E de Socaire,-23.708 ,-67.024,2025-01-02,11:19:35,2025-01-02,14:19:35,186,km,2.9,Ml
31 km al NO de Carrizal Bajo,-27.900 ,-71.384,2025-01-02,10:58:52,2025-01-02,13:58:52,48,km,3.0,Ml
27 km al SO de Termas del Flaco,-35.090 ,-70.685,2025-01-02,09:11:13,2025-01-02,12:11:13,13,km,2.5,Ml
16 km al NO de La Ligua,-32.362 ,-71.361,2025-01-02,07:35:03,2025-01-02,10:35:03,54,km,2.6,Ml
52 km al NO de Tongoy,-29.994 ,-71.939,2025-01-02,05:17:40,2025-01-02,08:17:40,31,km,2.7,Ml
63 km al NO de Tongoy,-29.973 ,-72.060,2025-01-02,04:15:49,2025-01-02,07:15:49,41,km,2.8,Ml
82 km al SE de Socaire,-24.224 ,-67.488,2025-01-02,03:09:08,2025-01-02,06:09:08,207,km,4.5,Mw
41 km al NE de Vallenar,-28.383 ,-70.400,2025-01-02,02:55:40,2025-01-02,05:55:40,90,km,3.2,Ml
68 km al SO de OllagÃ¼e,-21.792 ,-68.505,2025-01-02,02:09:38,2025-01-02,05:09:38,120,km,3.2,Ml
39 km al O de Mina Collahuasi,-20.936 ,-69.010,2025-01-02,01:32:44,2025-01-02,04:32:44,106,km,3.0,Ml
55 km al NO de Tongoy,-29.992 ,-71.973,2025-01-02,01:24:57,2025-01-02,04:24:57,36,km,2.9,Ml
56 km al SE de El Salvador,-26.696 ,-69.376,2025-01-02,00:38:46,2025-01-02,03:38:46,122,km,2.8,Ml
5 km al SE de Mina La Escondida,-24.315 ,-69.036,2025-01-02,00:19:04,2025-01-02,03:19:04,107,km,2.6,Ml
28 km al SE de ChaÃ±aral,-26.504 ,-70.400,2025-01-01,23:50:43,2025-01-02,02:50:43,35,km,3.2,Ml
15 km al S de Tongoy,-30.388 ,-71.464,2025-01-01,22:56:26,2025-01-02,01:56:26,40,km,2.5,Ml
21 km al SO de Huasco,-28.613 ,-71.360,2025-01-01,21:33:37,2025-01-02,00:33:37,28,km,2.8,Ml
31 km al O de OllagÃ¼e,-21.138 ,-68.539,2025-01-01,21:31:02,2025-01-02,00:31:02,128,km,2.6,Ml
