evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
65 km al NO de Tongoy,-29.944 ,-72.066,2025-01-03,20:49:39,2025-01-03,23:49:39,33,km,3.0,Ml
63 km al S de Socaire,-24.144 ,-67.741,2025-01-03,20:27:26,2025-01-03,23:27:26,229,km,3.3,Ml
18 km al SO de OllagÃ¼e,-21.304 ,-68.410,2025-01-03,20:21:46,2025-01-03,23:21:46,132,km,3.0,Ml
72 km al S de Socaire,-24.239 ,-67.874,2025-01-03,20:19:26,2025-01-03,23:19:26,236,km,2.8,Ml
21 km al S de Mina Los Pelambres,-31.999 ,-70.515,2025-01-03,19:28:42,2025-01-03,22:28:42,136,km,3.4,Ml
47 km al SE de Pica,-20.869 ,-69.125,2025-01-03,17:34:14,2025-01-03,20:34:14,111,km,2.8,Ml
58 km al NO de Tongoy,-29.977 ,-72.010,2025-01-03,17:07:08,2025-01-03,20:07:08,39,km,3.5,Ml
37 km al O de Tocopilla,-22.065 ,-70.560,2025-01-03,16:41:00,2025-01-03,19:41:00,19,km,3.1,Ml
31 km al S de Calama,-22.741 ,-68.862,2025-01-03,16:37:58,2025-01-03,19:37:58,96,km,2.5,Ml
49 km al SO de San Pedro de Atacama,-23.313 ,-68.427,2025-01-03,15:55:14,2025-01-03,18:55:14,190,km,3.3,Ml
15 km al NE de Los Vilos,-31.801 ,-71.418,2025-01-03,15:52:09,2025-01-03,18:52:09,47,km,4.2,Ml
34 km al SO de Mina Collahuasi,-20.986 ,-68.934,2025-01-03,12:06:23,2025-01-03,15:06:23,123,km,3.9,Ml
20 km al S de Mina Collahuasi,-21.006 ,-68.672,2025-01-03,11:59:28,2025-01-03,14:59:28,124,km,2.7,Ml
10 km al NO de Calama,-22.400 ,-68.991,2025-01-03,11:56:25,2025-01-03,14:56:25,110,km,2.7,Ml
83 km al NO de San Antonio de los Cobres,-23.849 ,-67.021,2025-01-03,10:48:03,2025-01-03,13:48:03,241,km,3.7,Ml
22 km al SE de Carrizal Bajo,-28.212 ,-70.976,2025-01-03,10:40:50,2025-01-03,13:40:50,50,km,2.6,Ml
52 km al S de Socaire,-24.057 ,-67.949,2025-01-03,10:10:31,2025-01-03,13:10:31,243,km,2.7,Ml
59 km al O de Arica,-18.673 ,-70.839,2025-01-03,07:06:07,2025-01-03,10:06:07,6,km,2.7,Ml
57 km al SO de OllagÃ¼e,-21.651 ,-68.564,2025-01-03,06:55:59,2025-01-03,09:55:59,117,km,4.0,Ml
52 km al NO de Tongoy,-29.956 ,-71.908,2025-01-03,06:53:01,2025-01-03,09:53:01,38,km,2.5,Ml
61 km al N de Calama,-21.947 ,-68.749,2025-01-03,05:45:40,2025-01-03,08:45:40,122,km,2.5,Ml
54 km al E de Quillagua,-21.721 ,-69.017,2025-01-03,04:29:44,2025-01-03,07:29:44,92,km,3.5,Ml
21 km al E de Pica,-20.517 ,-69.130,2025-01-03,03:55:51,2025-01-03,06:55:51,120,km,2.9,Ml
82 km al E de Socaire,-23.883 ,-67.155,2025-01-03,03:25:41,2025-01-03,06:25:41,232,km,3.2,Ml
55 km al N de Pica,-20.007 ,-69.206,2025-01-03,02:15:58,2025-01-03,05:15:58,112,km,2.5,Ml
28 km al SO de Canela Baja,-31.531 ,-71.714,2025-01-03,00:52:11,2025-01-03,03:52:11,31,km,3.3,Ml
61 km al N de Mejillones,-22.559 ,-70.574,2025-01-03,00:13:24,2025-01-03,03:13:24,15,km,3.0,Ml
28 km al O de Mina Collahuasi,-20.751 ,-68.916,2025-01-02,22:39:55,2025-01-03,01:39:55,103,km,2.8,Ml
45 km al SE de Socaire,-23.776 ,-67.499,2025-01-02,22:38:17,2025-01-03,01:38:17,250,km,3.6,Ml
31 km al NO de Quintero,-32.581 ,-71.762,2025-01-02,22:12:51,2025-01-03,01:12:51,39,km,2.6,Ml
32 km al N de Mina Collahuasi,-20.541 ,-68.623,2025-01-02,21:55:09,2025-01-03,00:55:09,132,km,4.5,Mw
49 km al SO de Mina Collahuasi,-21.090 ,-69.032,2025-01-02,21:44:53,2025-01-03,00:44:53,116,km,2.9,Ml
