evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
21 km al SO de Sierra Gorda,-23.060 ,-69.403,2025-01-14,15:31:51,2025-01-14,18:31:51,101,km,3.6,Ml
77 km al N de Calama,-21.796 ,-68.762,2025-01-14,12:41:59,2025-01-14,15:41:59,112,km,3.8,Ml
130 km al E de Alto del Carmen,-28.720 ,-69.151,2025-01-14,09:49:19,2025-01-14,12:49:19,143,km,3.5,Ml
38 km al E de Patache,-20.864 ,-69.841,2025-01-14,04:58:37,2025-01-14,07:58:37,70,km,2.6,Ml
88 km al SE de Socaire,-24.083 ,-67.212,2025-01-14,04:20:56,2025-01-14,07:20:56,195,km,2.7,Ml
14 km al O de Andacollo,-30.246 ,-71.225,2025-01-14,04:02:05,2025-01-14,07:02:05,65,km,2.8,Ml
27 km al NO de BahÃ­a Mansa,-40.373 ,-73.896,2025-01-14,03:53:29,2025-01-14,06:53:29,28,km,2.5,Ml
63 km al E de Rancagua,-34.260 ,-70.056,2025-01-14,03:13:27,2025-01-14,06:13:27,138,km,2.5,Ml
46 km al SO de Mina Collahuasi,-21.129 ,-68.963,2025-01-14,02:41:08,2025-01-14,05:41:08,112,km,3.0,Ml
16 km al NE de Farellones,-33.225 ,-70.234,2025-01-14,01:30:23,2025-01-14,04:30:23,128,km,2.5,Ml
35 km al O de Putre,-18.123 ,-69.877,2025-01-13,23:06:25,2025-01-14,02:06:25,124,km,2.6,Ml
89 km al E de CopiapÃ³,-27.559 ,-69.454,2025-01-13,22:40:25,2025-01-14,01:40:25,115,km,2.5,Ml
34 km al SO de Mina Collahuasi,-21.025 ,-68.902,2025-01-13,22:40:21,2025-01-14,01:40:21,109,km,2.8,Ml
33 km al SO de Putre,-18.363 ,-69.817,2025-01-13,22:27:27,2025-01-14,01:27:27,106,km,2.8,Ml
26 km al NE de Pica,-20.294 ,-69.187,2025-01-13,21:23:28,2025-01-14,00:23:28,97,km,4.6,Mw
61 km al S de Socaire,-24.124 ,-67.772,2025-01-13,21:21:35,2025-01-14,00:21:35,243,km,3.3,Ml
49 km al S de Pica,-20.912 ,-69.184,2025-01-13,21:02:57,2025-01-14,00:02:57,93,km,2.7,Ml
