evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
12 km al SE de Huasco,-28.528 ,-71.122,2025-01-07,20:39:21,2025-01-07,23:39:21,59,km,2.8,Ml
32 km al E de Cuya,-19.241 ,-69.891,2025-01-07,18:16:00,2025-01-07,21:16:00,86,km,3.3,Ml
29 km al S de Mina Collahuasi,-21.087 ,-68.615,2025-01-07,17:07:31,2025-01-07,20:07:31,119,km,2.8,Ml
74 km al N de El Salvador,-25.609 ,-69.417,2025-01-07,13:47:13,2025-01-07,16:47:13,115,km,4.2,Ml
75 km al S de Socaire,-24.250 ,-67.746,2025-01-07,11:01:10,2025-01-07,14:01:10,228,km,3.5,Ml
32 km al NO de Quintero,-32.536 ,-71.708,2025-01-07,09:00:46,2025-01-07,12:00:46,36,km,3.5,Ml
34 km al NE de Los Andes,-32.608 ,-70.351,2025-01-07,08:01:29,2025-01-07,11:01:29,122,km,2.6,Ml
29 km al SO de Pica,-20.710 ,-69.487,2025-01-07,05:23:22,2025-01-07,08:23:22,104,km,3.1,Ml
126 km al O de ValparaÃ­so,-33.117 ,-72.963,2025-01-07,05:07:59,2025-01-07,08:07:59,40,km,2.8,Ml
30 km al NO de Quintero,-32.548 ,-71.693,2025-01-07,04:58:30,2025-01-07,07:58:30,37,km,2.5,Ml
29 km al S de Pisagua,-19.855 ,-70.152,2025-01-07,03:07:21,2025-01-07,06:07:21,10,km,2.8,Ml
67 km al E de Mina Collahuasi,-20.650 ,-68.042,2025-01-07,02:33:59,2025-01-07,05:33:59,190,km,3.9,Ml
52 km al SO de Mina Collahuasi,-21.247 ,-68.876,2025-01-07,01:26:39,2025-01-07,04:26:39,115,km,3.5,Ml
31 km al NO de Quintero,-32.542 ,-71.710,2025-01-07,00:39:38,2025-01-07,03:39:38,34,km,4.2,Ml
70 km al SE de Socaire,-23.931 ,-67.313,2025-01-06,23:21:22,2025-01-07,02:21:22,258,km,3.9,Ml
22 km al E de Calama,-22.394 ,-68.730,2025-01-06,22:49:28,2025-01-07,01:49:28,116,km,2.7,Ml
3 km al O de Mina Los Pelambres,-31.836 ,-70.618,2025-01-06,21:57:05,2025-01-07,00:57:05,117,km,3.1,Ml
10 km al SO de Arica,-18.560 ,-70.371,2025-01-06,21:41:42,2025-01-07,00:41:42,93,km,2.9,Ml
53 km al NO de Tongoy,-29.943 ,-71.906,2025-01-06,21:05:17,2025-01-07,00:05:17,37,km,2.8,Ml
