evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
85 km al E de Socaire,-23.834 ,-67.095,2024-12-17,19:39:21,2024-12-17,22:39:21,254,km,4.4,Ml
72 km al NE de Mina La Escondida,-23.703 ,-68.716,2024-12-17,19:08:58,2024-12-17,22:08:58,110,km,3.0,Ml
59 km al SE de OllagÃ¼e,-21.539 ,-67.793,2024-12-17,18:58:28,2024-12-17,21:58:28,244,km,3.5,Ml
39 km al NE de Calama,-22.151 ,-68.770,2024-12-17,18:53:14,2024-12-17,21:53:14,110,km,3.2,Ml
30 km al O de OllagÃ¼e,-21.209 ,-68.541,2024-12-17,16:51:10,2024-12-17,19:51:10,122,km,2.5,Ml
19 km al NE de Pica,-20.408 ,-69.171,2024-12-17,16:30:41,2024-12-17,19:30:41,107,km,2.6,Ml
79 km al O de San Antonio de los Cobres,-24.064 ,-67.080,2024-12-17,13:49:39,2024-12-17,16:49:39,235,km,4.8,Ml
26 km al O de El Salvador,-26.180 ,-69.875,2024-12-17,13:23:36,2024-12-17,16:23:36,41,km,4.5,Mw
23 km al S de San Fernando,-34.784 ,-70.911,2024-12-17,13:16:55,2024-12-17,16:16:55,109,km,3.3,Ml
12 km al E de CamiÃ±a,-19.322 ,-69.314,2024-12-17,13:00:44,2024-12-17,16:00:44,99,km,4.5,Mw
37 km al SO de Talca,-35.593 ,-72.023,2024-12-17,12:39:21,2024-12-17,15:39:21,10,km,2.6,Ml
39 km al SE de Cauquenes,-36.158 ,-71.949,2024-12-17,12:13:50,2024-12-17,15:13:50,86,km,3.4,Ml
67 km al SO de Mina Collahuasi,-21.385 ,-68.902,2024-12-17,10:54:35,2024-12-17,13:54:35,121,km,3.4,Ml
39 km al SE de Cuya,-19.364 ,-69.877,2024-12-17,10:34:51,2024-12-17,13:34:51,69,km,2.7,Ml
16 km al NE de Mejillones,-22.986 ,-70.356,2024-12-17,10:15:22,2024-12-17,13:15:22,37,km,2.5,Ml
41 km al O de Mina Collahuasi,-20.827 ,-69.050,2024-12-17,10:12:59,2024-12-17,13:12:59,109,km,2.8,Ml
36 km al E de Tocopilla,-22.005 ,-69.870,2024-12-17,09:25:19,2024-12-17,12:25:19,58,km,2.6,Ml
31 km al E de Calama,-22.391 ,-68.641,2024-12-17,08:47:44,2024-12-17,11:47:44,103,km,3.1,Ml
28 km al SO de Huasco,-28.650 ,-71.421,2024-12-17,08:42:53,2024-12-17,11:42:53,34,km,3.3,Ml
104 km al E de CopiapÃ³,-27.537 ,-69.301,2024-12-17,06:43:50,2024-12-17,09:43:50,115,km,3.0,Ml
40 km al SO de Mina Collahuasi,-21.043 ,-68.964,2024-12-17,06:19:28,2024-12-17,09:19:28,107,km,3.0,Ml
74 km al SE de Socaire,-24.171 ,-67.531,2024-12-17,06:15:31,2024-12-17,09:15:31,201,km,3.5,Ml
133 km al O de TirÃºa,-38.850 ,-74.878,2024-12-17,02:35:54,2024-12-17,05:35:54,25,km,3.5,Ml
79 km al NO de San Antonio de los Cobres,-23.810 ,-66.947,2024-12-17,01:55:57,2024-12-17,04:55:57,241,km,3.2,Ml
32 km al E de OllagÃ¼e,-21.300 ,-67.951,2024-12-17,01:03:35,2024-12-17,04:03:35,187,km,3.1,Ml
30 km al SE de Rancagua,-34.415 ,-70.613,2024-12-17,00:22:57,2024-12-17,03:22:57,98,km,2.5,Ml
20 km al NE de CamiÃ±a,-19.154 ,-69.330,2024-12-17,00:04:33,2024-12-17,03:04:33,108,km,3.5,Ml
19 km al SO de San JosÃ© de Maipo,-33.789 ,-70.449,2024-12-16,23:34:40,2024-12-17,02:34:40,103,km,3.3,Ml
20 km al S de Parque Fray Jorge,-30.831 ,-71.616,2024-12-16,22:57:55,2024-12-17,01:57:55,25,km,2.9,Ml
19 km al N de Huasco,-28.304 ,-71.268,2024-12-16,22:03:40,2024-12-17,01:03:40,36,km,3.1,Ml
