evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
54 km al O de Iquique,-20.161 ,-70.664,2024-12-31,20:31:39,2024-12-31,23:31:39,10,km,3.3,Ml
62 km al O de Iquique,-20.142 ,-70.739,2024-12-31,20:28:06,2024-12-31,23:28:06,18,km,2.7,Ml
56 km al O de Iquique,-20.177 ,-70.684,2024-12-31,20:13:20,2024-12-31,23:13:20,22,km,5.1,Mw
18 km al O de Illapel,-31.580 ,-71.348,2024-12-31,19:54:03,2024-12-31,22:54:03,37,km,3.4,Ml
53 km al NO de Tongoy,-29.963 ,-71.932,2024-12-31,18:11:12,2024-12-31,21:11:12,33,km,2.5,Ml
60 km al E de Linares,-36.028 ,-70.971,2024-12-31,17:36:43,2024-12-31,20:36:43,3,km,3.1,Ml
34 km al SO de OllagÃ¼e,-21.501 ,-68.390,2024-12-31,17:06:14,2024-12-31,20:06:14,136,km,2.9,Ml
53 km al NO de Tongoy,-29.936 ,-71.905,2024-12-31,16:44:00,2024-12-31,19:44:00,31,km,2.7,Ml
59 km al E de Linares,-36.031 ,-70.986,2024-12-31,15:52:05,2024-12-31,18:52:05,5,km,3.4,Ml
66 km al SE de CamiÃ±a,-19.866 ,-69.186,2024-12-31,15:04:10,2024-12-31,18:04:10,107,km,2.8,Ml
48 km al NO de Tongoy,-30.008 ,-71.902,2024-12-31,13:52:08,2024-12-31,16:52:08,36,km,2.6,Ml
35 km al N de Pica,-20.188 ,-69.245,2024-12-31,09:34:36,2024-12-31,12:34:36,93,km,2.8,Ml
34 km al N de Pica,-20.202 ,-69.225,2024-12-31,09:30:58,2024-12-31,12:30:58,95,km,3.3,Ml
46 km al SE de San Pedro de Atacama,-23.147 ,-67.823,2024-12-31,09:21:46,2024-12-31,12:21:46,124,km,3.1,Ml
47 km al S de CamiÃ±a,-19.717 ,-69.300,2024-12-31,08:53:48,2024-12-31,11:53:48,101,km,4.3,Ml
56 km al NE de Pozo Almonte,-19.985 ,-69.336,2024-12-31,07:33:12,2024-12-31,10:33:12,101,km,3.4,Ml
9 km al SE de ChillÃ¡n,-36.644 ,-72.018,2024-12-31,06:39:49,2024-12-31,09:39:49,92,km,3.4,Ml
33 km al S de Mina Collahuasi,-21.119 ,-68.717,2024-12-31,06:20:53,2024-12-31,09:20:53,125,km,2.7,Ml
49 km al O de Patache,-20.672 ,-70.650,2024-12-31,05:28:28,2024-12-31,08:28:28,38,km,3.9,Ml
28 km al O de OllagÃ¼e,-21.211 ,-68.527,2024-12-31,04:57:16,2024-12-31,07:57:16,128,km,2.8,Ml
43 km al O de Mina Collahuasi,-20.911 ,-69.059,2024-12-31,04:53:51,2024-12-31,07:53:51,102,km,2.6,Ml
125 km al O de Antofagasta,-23.660 ,-71.618,2024-12-31,03:30:09,2024-12-31,06:30:09,40,km,2.5,Ml
34 km al E de Alto del Carmen,-28.737 ,-70.136,2024-12-31,02:51:58,2024-12-31,05:51:58,102,km,3.9,Ml
44 km al NO de Tongoy,-30.029 ,-71.876,2024-12-31,01:58:43,2024-12-31,04:58:43,19,km,2.6,Ml
62 km al NE de San Pedro de Atacama,-22.462 ,-67.856,2024-12-31,00:39:07,2024-12-31,03:39:07,182,km,2.9,Ml
56 km al NO de Tongoy,-29.956 ,-71.962,2024-12-31,00:18:41,2024-12-31,03:18:41,35,km,2.7,Ml
51 km al S de Mina Collahuasi,-21.272 ,-68.770,2024-12-30,23:31:14,2024-12-31,02:31:14,119,km,3.4,Ml
28 km al E de Pica,-20.418 ,-69.071,2024-12-30,22:43:48,2024-12-31,01:43:48,117,km,3.2,Ml
24 km al S de Sierra Gorda,-23.099 ,-69.247,2024-12-30,21:39:21,2024-12-31,00:39:21,81,km,2.6,Ml
