evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
43 km al N de Mina Los Pelambres,-31.446 ,-70.473,2024-12-22,19:24:09,2024-12-22,22:24:09,105,km,2.8,Ml
21 km al N de Tacna,-17.833 ,-70.242,2024-12-22,19:11:01,2024-12-22,22:11:01,99,km,3.5,Ml
9 km al SE de Punta de Choros,-29.290 ,-71.389,2024-12-22,16:18:27,2024-12-22,19:18:27,53,km,2.6,Ml
43 km al N de Calama,-22.103 ,-68.788,2024-12-22,14:54:28,2024-12-22,17:54:28,95,km,2.8,Ml
5 km al E de Calama,-22.484 ,-68.880,2024-12-22,14:12:30,2024-12-22,17:12:30,100,km,2.6,Ml
43 km al S de Mina La Escondida,-24.647 ,-68.959,2024-12-22,13:47:16,2024-12-22,16:47:16,117,km,2.9,Ml
57 km al SO de OllagÃ¼e,-21.692 ,-68.488,2024-12-22,12:59:12,2024-12-22,15:59:12,136,km,2.7,Ml
99 km al SE de Socaire,-24.356 ,-67.391,2024-12-22,09:53:26,2024-12-22,12:53:26,182,km,4.0,Ml
71 km al NE de El Salvador,-25.912 ,-69.020,2024-12-22,07:29:23,2024-12-22,10:29:23,116,km,3.0,Ml
48 km al SO de OllagÃ¼e,-21.617 ,-68.453,2024-12-22,04:38:08,2024-12-22,07:38:08,130,km,2.6,Ml
159 km al O de Caleta El Cobre,-24.393 ,-72.089,2024-12-21,23:52:45,2024-12-22,02:52:45,20,km,3.9,Ml
17 km al O de Quintero,-32.733 ,-71.701,2024-12-21,21:20:10,2024-12-22,00:20:10,37,km,2.5,Ml
