evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
41 km al E de Pica,-20.503 ,-68.937,2024-12-19,18:23:08,2024-12-19,21:23:08,108,km,3.4,Ml
81 km al NO de ConcepciÃ³n,-36.308 ,-73.684,2024-12-19,18:08:28,2024-12-19,21:08:28,30,km,3.2,Ml
63 km al N de Mina Collahuasi,-20.270 ,-68.760,2024-12-19,14:11:55,2024-12-19,17:11:55,117,km,2.5,Ml
89 km al O de San Antonio de los Cobres,-24.280 ,-67.197,2024-12-19,13:47:00,2024-12-19,16:47:00,235,km,3.2,Ml
23 km al E de La Higuera,-29.591 ,-70.977,2024-12-19,13:37:30,2024-12-19,16:37:30,99,km,3.1,Ml
19 km al SO de Termas del Flaco,-35.056 ,-70.612,2024-12-19,11:22:08,2024-12-19,14:22:08,118,km,2.5,Ml
78 km al SE de Putre,-18.500 ,-68.895,2024-12-19,08:53:40,2024-12-19,11:53:40,156,km,2.9,Ml
66 km al S de Socaire,-24.170 ,-67.732,2024-12-19,08:31:58,2024-12-19,11:31:58,245,km,3.0,Ml
77 km al E de Socaire,-23.829 ,-67.179,2024-12-19,07:38:49,2024-12-19,10:38:49,252,km,3.9,Ml
71 km al SE de Socaire,-24.068 ,-67.425,2024-12-19,07:36:25,2024-12-19,10:36:25,232,km,3.1,Ml
33 km al E de Calama,-22.418 ,-68.610,2024-12-19,04:40:18,2024-12-19,07:40:18,131,km,2.8,Ml
31 km al E de Calama,-22.413 ,-68.637,2024-12-19,03:37:15,2024-12-19,06:37:15,123,km,3.9,Ml
66 km al SE de Socaire,-24.008 ,-67.434,2024-12-19,03:01:47,2024-12-19,06:01:47,260,km,2.9,Ml
26 km al NO de El Salvador,-26.140 ,-69.856,2024-12-19,02:43:04,2024-12-19,05:43:04,101,km,3.4,Ml
30 km al SE de Mina Collahuasi,-21.055 ,-68.496,2024-12-18,23:20:49,2024-12-19,02:20:49,134,km,2.6,Ml
37 km al O de Canela Baja,-31.446 ,-71.842,2024-12-18,23:15:17,2024-12-19,02:15:17,32,km,3.5,Ml
59 km al SE de Socaire,-23.913 ,-67.433,2024-12-18,21:29:59,2024-12-19,00:29:59,266,km,2.9,Ml
47 km al E de Quillagua,-21.807 ,-69.113,2024-12-18,21:01:37,2024-12-19,00:01:37,93,km,2.5,Ml
