evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
52 km al NO de Tongoy,-29.975 ,-71.924,2024-12-30,20:59:43,2024-12-30,23:59:43,33,km,2.8,Ml
51 km al NE de El Salvador,-25.872 ,-69.332,2024-12-30,18:10:17,2024-12-30,21:10:17,136,km,3.9,Ml
94 km al E de Alto del Carmen,-28.886 ,-69.537,2024-12-30,16:14:32,2024-12-30,19:14:32,111,km,3.3,Ml
46 km al NO de Tongoy,-29.972 ,-71.840,2024-12-30,16:04:25,2024-12-30,19:04:25,29,km,2.6,Ml
45 km al NO de Tongoy,-30.038 ,-71.893,2024-12-30,15:01:01,2024-12-30,18:01:01,40,km,2.8,Ml
56 km al SE de Socaire,-23.833 ,-67.407,2024-12-30,14:11:37,2024-12-30,17:11:37,267,km,3.5,Ml
36 km al SO de OllagÃ¼e,-21.450 ,-68.505,2024-12-30,13:55:46,2024-12-30,16:55:46,131,km,2.6,Ml
62 km al NO de Tongoy,-29.883 ,-71.968,2024-12-30,12:39:49,2024-12-30,15:39:49,49,km,3.4,Ml
56 km al NO de Tongoy,-29.961 ,-71.970,2024-12-30,12:38:05,2024-12-30,15:38:05,37,km,3.0,Ml
58 km al O de Mina La Escondida,-24.167 ,-69.615,2024-12-30,12:25:58,2024-12-30,15:25:58,96,km,4.6,Mw
53 km al E de Petorca,-32.360 ,-70.384,2024-12-30,11:24:49,2024-12-30,14:24:49,128,km,2.9,Ml
59 km al NE de Calama,-22.018 ,-68.621,2024-12-30,09:17:34,2024-12-30,12:17:34,131,km,2.6,Ml
76 km al NE de San Pedro de Atacama,-22.401 ,-67.717,2024-12-30,08:17:33,2024-12-30,11:17:33,166,km,2.7,Ml
50 km al NO de Tongoy,-30.032 ,-71.952,2024-12-30,07:16:45,2024-12-30,10:16:45,32,km,3.0,Ml
58 km al NO de Tongoy,-29.960 ,-71.993,2024-12-30,07:12:20,2024-12-30,10:12:20,32,km,4.2,Ml
16 km al N de La Higuera,-29.374 ,-71.252,2024-12-30,06:58:45,2024-12-30,09:58:45,51,km,5.0,Mw
69 km al NO de Tongoy,-29.912 ,-72.092,2024-12-30,06:41:32,2024-12-30,09:41:32,40,km,2.7,Ml
48 km al NO de Tongoy,-29.981 ,-71.877,2024-12-30,06:37:34,2024-12-30,09:37:34,33,km,3.1,Ml
47 km al NO de Tongoy,-29.982 ,-71.866,2024-12-30,06:33:33,2024-12-30,09:33:33,40,km,3.0,Ml
51 km al S de Mina Collahuasi,-21.276 ,-68.769,2024-12-30,06:22:14,2024-12-30,09:22:14,114,km,2.5,Ml
23 km al NE de Diego de Almagro,-26.269 ,-69.864,2024-12-30,05:59:43,2024-12-30,08:59:43,84,km,3.4,Ml
53 km al NO de Tongoy,-29.993 ,-71.952,2024-12-30,05:51:51,2024-12-30,08:51:51,39,km,3.8,Ml
47 km al NO de Tongoy,-29.986 ,-71.874,2024-12-30,05:29:21,2024-12-30,08:29:21,31,km,2.5,Ml
58 km al NO de Tongoy,-29.932 ,-71.967,2024-12-30,04:49:26,2024-12-30,07:49:26,25,km,3.7,Ml
54 km al O de Socaire,-23.483 ,-68.406,2024-12-30,04:41:10,2024-12-30,07:41:10,112,km,2.8,Ml
56 km al NO de Tongoy,-29.933 ,-71.937,2024-12-30,04:14:33,2024-12-30,07:14:33,41,km,3.2,Ml
51 km al NO de Tongoy,-29.990 ,-71.921,2024-12-30,04:02:30,2024-12-30,07:02:30,42,km,3.5,Ml
46 km al NO de Tongoy,-29.980 ,-71.847,2024-12-30,03:59:00,2024-12-30,06:59:00,31,km,3.0,Ml
54 km al NO de Tongoy,-29.991 ,-71.966,2024-12-30,03:58:20,2024-12-30,06:58:20,37,km,2.5,Ml
45 km al NO de Tongoy,-30.012 ,-71.863,2024-12-30,03:51:46,2024-12-30,06:51:46,31,km,3.3,Ml
56 km al NO de Tongoy,-29.995 ,-71.998,2024-12-30,03:50:13,2024-12-30,06:50:13,31,km,2.5,Ml
59 km al NO de Tongoy,-29.950 ,-71.999,2024-12-30,03:39:10,2024-12-30,06:39:10,32,km,3.4,Ml
45 km al NE de Los Andes,-32.456 ,-70.412,2024-12-30,03:18:13,2024-12-30,06:18:13,88,km,3.8,Ml
65 km al NO de Tongoy,-29.925 ,-72.053,2024-12-30,03:08:33,2024-12-30,06:08:33,33,km,4.2,Ml
57 km al NO de Tongoy,-29.947 ,-71.963,2024-12-30,03:06:05,2024-12-30,06:06:05,34,km,3.4,Ml
49 km al NO de Tongoy,-29.969 ,-71.885,2024-12-30,02:57:37,2024-12-30,05:57:37,37,km,3.2,Ml
57 km al NO de Tongoy,-29.958 ,-71.983,2024-12-30,02:51:57,2024-12-30,05:51:57,34,km,3.2,Ml
57 km al NO de Tongoy,-29.961 ,-71.978,2024-12-30,02:40:49,2024-12-30,05:40:49,37,km,5.7,Mw
22 km al S de CuricÃ³,-35.180 ,-71.210,2024-12-30,01:44:38,2024-12-30,04:44:38,116,km,3.0,Ml
52 km al NO de Tongoy,-29.963 ,-71.914,2024-12-29,22:41:16,2024-12-30,01:41:16,38,km,3.5,Ml
21 km al SO de Calama,-22.619 ,-69.058,2024-12-29,21:20:21,2024-12-30,00:20:21,101,km,2.6,Ml
