evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
68 km al S de OllagÃ¼e,-21.797 ,-68.484,2024-12-29,18:26:59,2024-12-29,21:26:59,124,km,2.6,Ml
43 km al E de Pica,-20.435 ,-68.922,2024-12-29,15:05:39,2024-12-29,18:05:39,99,km,3.3,Ml
67 km al NE de Calama,-22.003 ,-68.517,2024-12-29,13:13:32,2024-12-29,16:13:32,102,km,2.8,Ml
23 km al NO de La Serena,-29.737 ,-71.392,2024-12-29,12:30:23,2024-12-29,15:30:23,40,km,3.7,Ml
55 km al NE de Vallenar,-28.248 ,-70.335,2024-12-29,11:40:46,2024-12-29,14:40:46,91,km,3.5,Ml
58 km al O de OllagÃ¼e,-21.363 ,-68.789,2024-12-29,10:32:34,2024-12-29,13:32:34,114,km,3.9,Ml
41 km al SE de Rancagua,-34.421 ,-70.414,2024-12-29,09:43:34,2024-12-29,12:43:34,126,km,2.6,Ml
54 km al E de Linares,-35.974 ,-71.022,2024-12-29,06:28:36,2024-12-29,09:28:36,6,km,2.9,Ml
160 km al E de CopiapÃ³,-27.951 ,-68.853,2024-12-29,06:18:13,2024-12-29,09:18:13,115,km,2.6,Ml
62 km al O de Canela Baja,-31.192 ,-72.066,2024-12-29,05:30:51,2024-12-29,08:30:51,51,km,2.7,Ml
57 km al NO de Quillagua,-21.300 ,-69.927,2024-12-29,03:07:53,2024-12-29,06:07:53,60,km,2.6,Ml
16 km al NE de Mejillones,-22.968 ,-70.390,2024-12-29,02:29:56,2024-12-29,05:29:56,38,km,3.0,Ml
67 km al N de Isla Guafo,-42.995 ,-74.619,2024-12-29,01:35:44,2024-12-29,04:35:44,22,km,3.1,Ml
59 km al NE de Calama,-22.000 ,-68.659,2024-12-29,01:31:14,2024-12-29,04:31:14,120,km,3.0,Ml
10 km al NE de Pica,-20.452 ,-69.238,2024-12-28,22:24:28,2024-12-29,01:24:28,105,km,2.5,Ml
70 km al SE de Socaire,-23.915 ,-67.300,2024-12-28,22:22:35,2024-12-29,01:22:35,256,km,3.0,Ml
74 km al NE de El Salvador,-25.641 ,-69.315,2024-12-28,22:08:47,2024-12-29,01:08:47,110,km,3.2,Ml
51 km al SO de Mina Collahuasi,-21.249 ,-68.858,2024-12-28,21:28:39,2024-12-29,00:28:39,114,km,2.6,Ml
21 km al NE de Temuco,-38.579 ,-72.465,2024-12-28,21:13:10,2024-12-29,00:13:10,49,km,2.8,Ml
48 km al O de Paposo,-25.124 ,-70.924,2024-12-28,21:01:43,2024-12-29,00:01:43,43,km,2.7,Ml
