evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
40 km al NE de Mina Los Pelambres,-31.592 ,-70.264,2024-12-23,20:57:14,2024-12-23,23:57:14,128,km,3.0,Ml
34 km al NO de Mina Collahuasi,-20.598 ,-68.878,2024-12-23,18:53:42,2024-12-23,21:53:42,102,km,3.2,Ml
35 km al SO de OllagÃ¼e,-21.502 ,-68.405,2024-12-23,16:11:22,2024-12-23,19:11:22,133,km,2.9,Ml
74 km al SE de Socaire,-24.038 ,-67.353,2024-12-23,16:01:32,2024-12-23,19:01:32,214,km,3.5,Ml
20 km al E de ChaÃ±aral,-26.292 ,-70.430,2024-12-23,13:18:37,2024-12-23,16:18:37,33,km,3.0,Ml
38 km al O de Mina Collahuasi,-20.883 ,-69.017,2024-12-23,12:11:38,2024-12-23,15:11:38,110,km,3.3,Ml
5 km al S de Parque Fray Jorge,-30.707 ,-71.683,2024-12-23,10:17:39,2024-12-23,13:17:39,33,km,2.8,Ml
27 km al N de Calama,-22.224 ,-68.945,2024-12-23,06:48:50,2024-12-23,09:48:50,97,km,3.5,Ml
41 km al SO de Mina Collahuasi,-21.141 ,-68.857,2024-12-23,06:22:45,2024-12-23,09:22:45,102,km,4.0,Ml
58 km al SO de OllagÃ¼e,-21.641 ,-68.583,2024-12-23,05:36:40,2024-12-23,08:36:40,138,km,3.2,Ml
86 km al SE de Socaire,-24.237 ,-67.420,2024-12-23,03:02:44,2024-12-23,06:02:44,203,km,3.4,Ml
41 km al S de Alto del Carmen,-29.117 ,-70.578,2024-12-23,01:26:18,2024-12-23,04:26:18,89,km,4.0,Ml
18 km al O de Quillota,-32.953 ,-71.425,2024-12-23,01:06:14,2024-12-23,04:06:14,74,km,3.5,Ml
21 km al E de La Higuera,-29.447 ,-71.000,2024-12-23,00:48:56,2024-12-23,03:48:56,56,km,3.6,Ml
42 km al SO de Huasco,-28.821 ,-71.369,2024-12-22,21:39:32,2024-12-23,00:39:32,42,km,3.1,Ml
