evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
72 km al E de Socaire,-23.821 ,-67.231,2024-12-20,20:18:11,2024-12-20,23:18:11,268,km,3.2,Ml
55 km al S de Mina Collahuasi,-21.298 ,-68.817,2024-12-20,19:47:02,2024-12-20,22:47:02,109,km,3.2,Ml
67 km al NE de Calama,-21.926 ,-68.649,2024-12-20,18:43:29,2024-12-20,21:43:29,112,km,3.7,Ml
17 km al NO de ValparaÃ­so,-32.923 ,-71.720,2024-12-20,16:08:07,2024-12-20,19:08:07,25,km,2.7,Ml
33 km al NE de Alto del Carmen,-28.517 ,-70.287,2024-12-20,15:26:38,2024-12-20,18:26:38,114,km,3.3,Ml
12 km al O de Punitaqui,-30.807 ,-71.382,2024-12-20,14:44:22,2024-12-20,17:44:22,53,km,2.7,Ml
23 km al NO de Quintero,-32.685 ,-71.742,2024-12-20,13:46:21,2024-12-20,16:46:21,40,km,2.7,Ml
24 km al NO de Vallenar,-28.454 ,-70.963,2024-12-20,13:31:11,2024-12-20,16:31:11,40,km,2.5,Ml
104 km al SE de OllagÃ¼e,-21.897 ,-67.561,2024-12-20,13:19:38,2024-12-20,16:19:38,227,km,3.1,Ml
21 km al NO de OllagÃ¼e,-21.121 ,-68.426,2024-12-20,11:58:40,2024-12-20,14:58:40,144,km,3.0,Ml
61 km al S de Socaire,-24.114 ,-67.714,2024-12-20,11:01:22,2024-12-20,14:01:22,255,km,3.6,Ml
15 km al NE de ChillÃ¡n,-36.491 ,-72.013,2024-12-20,10:31:02,2024-12-20,13:31:02,87,km,4.0,Ml
53 km al SO de Mina Collahuasi,-21.156 ,-69.022,2024-12-20,09:50:07,2024-12-20,12:50:07,92,km,2.8,Ml
28 km al SE de Calama,-22.599 ,-68.693,2024-12-20,09:17:31,2024-12-20,12:17:31,116,km,2.9,Ml
51 km al NO de ToltÃ©n,-38.874 ,-73.610,2024-12-20,06:35:34,2024-12-20,09:35:34,21,km,2.8,Ml
29 km al NO de Canela Baja,-31.206 ,-71.658,2024-12-20,06:01:24,2024-12-20,09:01:24,43,km,2.5,Ml
22 km al E de CamiÃ±a,-19.262 ,-69.225,2024-12-20,04:09:08,2024-12-20,07:09:08,111,km,2.9,Ml
45 km al N de Punta de Choros,-28.845 ,-71.479,2024-12-20,03:47:55,2024-12-20,06:47:55,30,km,3.0,Ml
8 km al NE de El Salvador,-26.189 ,-69.584,2024-12-20,02:32:33,2024-12-20,05:32:33,20,km,3.0,Ml
33 km al NE de VichuquÃ©n,-34.649 ,-71.773,2024-12-20,02:18:53,2024-12-20,05:18:53,41,km,3.1,Ml
60 km al O de El Tabo,-33.245 ,-72.265,2024-12-20,01:50:41,2024-12-20,04:50:41,34,km,2.9,Ml
29 km al NE de Alto del Carmen,-28.590 ,-70.263,2024-12-19,23:52:36,2024-12-20,02:52:36,85,km,3.0,Ml
43 km al NO de Quintero,-32.472 ,-71.808,2024-12-19,22:50:32,2024-12-20,01:50:32,33,km,2.8,Ml
75 km al SO de OllagÃ¼e,-21.818 ,-68.589,2024-12-19,22:17:11,2024-12-20,01:17:11,120,km,3.2,Ml
30 km al SO de Canela Baja,-31.632 ,-71.619,2024-12-19,21:47:22,2024-12-20,00:47:22,39,km,3.1,Ml
59 km al S de Socaire,-24.119 ,-67.857,2024-12-19,21:38:20,2024-12-20,00:38:20,237,km,3.4,Ml
95 km al NE de Paihuano,-29.457 ,-69.786,2024-12-19,21:19:26,2024-12-20,00:19:26,128,km,4.0,Ml
