evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
74 km al E de San Pedro de Atacama,-22.651 ,-67.545,2024-10-15,20:47:27,2024-10-15,23:47:27,195,km,3.0,Ml
71 km al O de Visviri,-17.342 ,-70.101,2024-10-15,20:06:50,2024-10-15,23:06:50,25,km,3.1,Ml
42 km al NO de San Antonio de los Cobres,-23.995 ,-66.653,2024-10-15,19:27:45,2024-10-15,22:27:45,164,km,3.4,Ml
71 km al E de Socaire,-23.683 ,-67.202,2024-10-15,17:42:34,2024-10-15,20:42:34,240,km,4.1,Ml
79 km al E de CopiapÃ³,-27.514 ,-69.553,2024-10-15,16:34:29,2024-10-15,19:34:29,110,km,4.4,Ml
52 km al NO de Visviri,-17.369 ,-69.913,2024-10-15,16:09:04,2024-10-15,19:09:04,23,km,3.0,Ml
111 km al NE de Socaire,-23.026 ,-66.997,2024-10-15,15:21:43,2024-10-15,18:21:43,264,km,3.3,Ml
42 km al SE de Pica,-20.838 ,-69.175,2024-10-15,14:30:18,2024-10-15,17:30:18,99,km,2.5,Ml
77 km al O de San Antonio de los Cobres,-24.029 ,-67.047,2024-10-15,10:49:08,2024-10-15,13:49:08,236,km,3.4,Ml
37 km al S de Mina Collahuasi,-21.141 ,-68.767,2024-10-15,10:16:28,2024-10-15,13:16:28,96,km,2.7,Ml
41 km al NO de Calama,-22.187 ,-69.182,2024-10-15,07:58:08,2024-10-15,10:58:08,105,km,2.9,Ml
61 km al S de Socaire,-24.127 ,-67.761,2024-10-15,07:29:02,2024-10-15,10:29:02,245,km,3.3,Ml
113 km al NO de ConstituciÃ³n,-34.864 ,-73.512,2024-10-15,05:03:20,2024-10-15,08:03:20,20,km,3.0,Ml
77 km al N de Calama,-21.819 ,-68.667,2024-10-15,02:56:34,2024-10-15,05:56:34,115,km,3.5,Ml
31 km al NO de CamiÃ±a,-19.066 ,-69.554,2024-10-15,00:02:00,2024-10-15,03:02:00,100,km,2.6,Ml
60 km al SE de Paihuano,-30.408 ,-70.069,2024-10-14,23:58:54,2024-10-15,02:58:54,115,km,2.9,Ml
31 km al O de La Serena,-29.866 ,-71.574,2024-10-14,23:53:58,2024-10-15,02:53:58,36,km,2.9,Ml
70 km al NE de Calama,-22.024 ,-68.451,2024-10-14,23:20:31,2024-10-15,02:20:31,115,km,2.8,Ml
46 km al S de Pica,-20.882 ,-69.184,2024-10-14,22:48:34,2024-10-15,01:48:34,110,km,2.9,Ml
33 km al E de Los Andes,-32.907 ,-70.254,2024-10-14,22:41:21,2024-10-15,01:41:21,95,km,2.6,Ml
